[00:00.000 --> 00:15.560]  Thank you. Thank you for having us. We are really happy to be there with the Kotlin community
[00:15.560 --> 00:21.480]  and the open source community today. It's really, really great. Welcome to the intermission
[00:21.480 --> 00:29.120]  between the great talks today. I'm François Nolen. I'm with Julien Buré. We both work
[00:29.120 --> 00:37.120]  at SNCF Connect and Tech, SNCF being the French railway company. At first, we wanted
[00:37.120 --> 00:44.760]  to introduce TOC, TOC, the open conversation kit. So TOC, it's an open platform. Maybe
[00:44.760 --> 00:55.280]  we can score a bit. In case you don't understand me, everything is written there. It's an
[00:55.280 --> 01:03.200]  open platform written in Kotlin to build chatbots, voicebots, callbots, conversational agents,
[01:03.200 --> 01:12.000]  and natural language processing applications. We started building TOC in 2016 when we started
[01:12.440 --> 01:17.840]  building production-ready business to customer chatbots for SNCF, which means for millions
[01:17.840 --> 01:30.440]  of French people, or millions of people in France, I should say. It builds on open source
[01:30.440 --> 01:41.440]  libraries, such as, at this time it was Apache, OpenNLP, and Stanford CoreNLP. To build chatbots
[01:41.480 --> 01:48.160]  and be able to build these conversational services without having only data scientists
[01:48.160 --> 01:55.160]  and experts and developers, we wanted not only to have something wrapping and encapsulating
[01:55.160 --> 02:03.080]  the NLP libraries with user interfaces, but also a conversational framework, Kotlin DSL,
[02:03.080 --> 02:11.760]  to be able to build the answers, a bunch of connectors to be able to integrate with our
[02:11.760 --> 02:19.120]  websites, our mobile applications, the messaging platforms such as Messenger, WhatsApp, Twitter,
[02:19.120 --> 02:27.400]  Slack, and smart speakers such as Google Home, Alexa, and more. So the solution we've built
[02:27.400 --> 02:34.400]  from open source foundations, we've shared it with the community on GitHub the year after,
[02:36.240 --> 02:42.840]  and now it's used by several companies and universities in the field of energy, banking,
[02:42.840 --> 02:49.840]  transport, and even healthcare. But I say the initial idea was to introduce TOC to you,
[02:50.840 --> 02:59.840]  and as you know, recently everything has changed in the field of conversational AI. That's why we
[02:59.840 --> 03:05.840]  won't do the initial presentation, and if you're disappointed, please go to the TOC AI website,
[03:05.840 --> 03:12.840]  and this link, this presentation is the demo we wanted to make initially, and you'll see
[03:12.840 --> 03:18.840]  the multi-channel capabilities and the analytics and everything that is in TOC. Now today, we'll
[03:18.840 --> 03:25.840]  try to do something a little more interesting and fun, focusing on code, because most time when
[03:25.840 --> 03:30.840]  people come and see me to know about TOC, they want to know how to build chatbots without having
[03:30.840 --> 03:39.840]  to code, with no code, and I assume you're more interested in Kotlin. So let's stop talking
[03:40.840 --> 03:50.840]  about TOC. Julien, could you run a new stack and create a chatbot running Kotlin from scratch, please?
[03:58.840 --> 04:07.840]  We'll use OpenNLP or Stanford. It's possible to integrate with other NLP models using their API
[04:07.840 --> 04:14.840]  integrating them through their APIs. Initially, it was OpenNLP and CoreNLP from Stanford because
[04:14.840 --> 04:24.840]  Java implementations are available, so it was really convenient to embed that in Kotlin. After
[04:24.840 --> 04:30.840]  creating an application, we will add a connector. The simplest connector is a web connector. It just
[04:31.840 --> 04:38.840]  exposes an API and we'll use it to have a web page and talk to the chatbot. And that's already
